-1.11376263,8.44240534,9.35,-1.54229527,8.34977125,12.09,0.35413937,8.07292851,11.25,-0.449405847,7.38369621,9.32,1
-2.58882748,7.91447808,6.3,-1.11376263,8.44240534,9.35,-1.54229527,8.34977125,12.09,0.35413937,8.07292851,11.25,1
-0.851386771,6.33696139,5.42,-2.58882748,7.91447808,6.3,-1.11376263,8.44240534,9.35,-1.54229527,8.34977125,12.09,1
1.19495243,5.2975816,6.16,-0.851386771,6.33696139,5.42,-2.58882748,7.91447808,6.3,-1.11376263,8.44240534,9.35,1
3.74575625,5.00877487,5.41,1.19495243,5.2975816,6.16,-0.851386771,6.33696139,5.42,-2.58882748,7.91447808,6.3,1
5.20954926,4.95059838,4.83,3.74575625,5.00877487,5.41,1.19495243,5.2975816,6.16,-0.851386771,6.33696139,5.42,1
4.3244909,3.85589936,5.2,5.20954926,4.95059838,4.83,3.74575625,5.00877487,5.41,1.19495243,5.2975816,6.16,1
3.49808564,3.61306697,5.28,4.3244909,3.85589936,5.2,5.20954926,4.95059838,4.83,3.74575625,5.00877487,5.41,1
2.00873653,3.91748426,4.87,3.49808564,3.61306697,5.28,4.3244909,3.85589936,5.2,5.20954926,4.95059838,4.83,1
2.40840931,4.84523834,4.66,2.00873653,3.91748426,4.87,3.49808564,3.61306697,5.28,4.3244909,3.85589936,5.2,1
3.84768919,4.99252852,5.16,2.40840931,4.84523834,4.66,2.00873653,3.91748426,4.87,3.49808564,3.61306697,5.28,1
4.85542175,4.92269408,5.82,3.84768919,4.99252852,5.16,2.40840931,4.84523834,4.66,2.00873653,3.91748426,4.87,1
3.71014663,4.56750642,6.51,4.85542175,4.92269408,5.82,3.84768919,4.99252852,5.16,2.40840931,4.84523834,4.66,1
2.10844128,4.54377781,6.76,3.71014663,4.56750642,6.51,4.85542175,4.92269408,5.82,3.84768919,4.99252852,5.16,1
4.1725601,5.41821308,7.28,2.10844128,4.54377781,6.76,3.71014663,4.56750642,6.51,4.85542175,4.92269408,5.82,1
5.12999407,6.25529579,8.1,4.1725601,5.41821308,7.28,2.10844128,4.54377781,6.76,3.71014663,4.56750642,6.51,1
6.12088682,6.84639109,9.58,5.12999407,6.25529579,8.1,4.1725601,5.41821308,7.28,2.10844128,4.54377781,6.76,1
2.50579719,7.08525683,10.07,6.12088682,6.84639109,9.58,5.12999407,6.25529579,8.1,4.1725601,5.41821308,7.28,1
1.65313721,7.91483054,10.18,2.50579719,7.08525683,10.07,6.12088682,6.84639109,9.58,5.12999407,6.25529579,8.1,1
1.03505836,8.78752013,10.95,1.65313721,7.91483054,10.18,2.50579719,7.08525683,10.07,6.12088682,6.84639109,9.58,1
1.09452906,9.4170978,13.58,1.03505836,8.78752013,10.95,1.65313721,7.91483054,10.18,2.50579719,7.08525683,10.07,1
1.29575454,10.1571835,15.05,1.09452906,9.4170978,13.58,1.03505836,8.78752013,10.95,1.65313721,7.91483054,10.18,1
-1.46586476,10.3051203,12.69,1.29575454,10.1571835,15.05,1.09452906,9.4170978,13.58,1.03505836,8.78752013,10.95,1
-1.88104997,9.0476068,9.84,-1.46586476,10.3051203,12.69,1.29575454,10.1571835,15.05,1.09452906,9.4170978,13.58,1
-0.362352615,7.94260948,15.85,-1.88104997,9.0476068,9.84,-1.46586476,10.3051203,12.69,1.29575454,10.1571835,15.05,1
3.72767362,7.35249497,16.57,-0.362352615,7.94260948,15.85,-1.88104997,9.0476068,9.84,-1.46586476,10.3051203,12.69,1
3.15214995,7.55658025,17.78,3.72767362,7.35249497,16.57,-0.362352615,7.94260948,15.85,-1.88104997,9.0476068,9.84,1
2.45530414,7.53871359,17.58,3.15214995,7.55658025,17.78,3.72767362,7.35249497,16.57,-0.362352615,7.94260948,15.85,1
-0.762438644,6.42304752,13.59,2.45530414,7.53871359,17.58,3.15214995,7.55658025,17.78,3.72767362,7.35249497,16.57,1
