Time,Y,P,I,OIL,Y_UK,P_UK,NEER_UK,I_UK,dummy_20q2,dummy_20q3,dummy_21q2
2007-Q3,1.677812054,1.07901438,5.445433455,9.180407371,0.7248864,0.126387549,0.187761273,5.69,0,0,0
2007-Q4,1.567539038,1.389264324,5.029335519,18.60702705,0.5969627,1.001589656,-2.61394575,4.86,0,0,0
2008-Q1,1.421736569,1.510539073,3.262578237,8.613586997,0.47125633,0.812691377,-5.71450071,4,0,0,0
2008-Q2,-0.210084175,1.561485143,2.750809175,26.69126267,-0.53168363,1.449676666,-3.054198294,5.37,0,0,0
2008-Q3,-0.360307799,1.337431452,2.906756301,-5.611953297,-1.53708526,1.418345185,-1.560173326,4.19,0,0,0
2008-Q4,-4.888551809,-0.327013829,2.72233189,-51.65652663,-2.1423237,0.068478569,-7.779555624,0.64,0,0,0
2009-Q1,-8.290166538,-0.064144846,1.240056504,-19.5147322,-2.0344847,0.037120582,-7.278602388,0.11,0,0,0
2009-Q2,-2.086962912,0.611827846,0.847322661,31.44715936,-0.32120335,0.56618082,4.44590632,0.34,0,0,0
2009-Q3,3.127198835,0.882094902,0.412598472,15.63405381,0.07657345,0.854769436,1.879452214,0.2,0,0,0
2009-Q4,2.947807277,0.830083157,0.268089805,9.649643286,0.29327417,0.670913499,-3.151564309,0.33,0,0,0
2010-Q1,2.913362743,0.789116213,0.256354594,2.249663518,0.922946,1.115287394,-1.283700573,-0.04,0,0,0
2010-Q2,4.647220888,0.545380905,0.435673116,2.634373486,1.0752145,0.792265153,0.144716986,-0.44,0,0,0
2010-Q3,1.769682885,0.766303202,0.388080101,-2.882113129,0.5854328,0.512118434,2.447865273,-0.99,0,0,0
2010-Q4,1.57649731,1.203610871,0.292894596,13.59816417,0.06537035,0.891983864,-1.774368327,-0.33,0,0,0
2011-Q1,1.544330834,1.259760815,0.307915094,20.85634097,0.2750638,1.806922013,0.568636219,0.26,0,0,0
2011-Q2,1.081375527,1.058732199,0.263306438,11.654183,0.08819804,1.134945151,-1.6631806,-0.55,0,0,0
2011-Q3,0.862702474,0.828195657,0.29779215,-3.969080674,0.30756464,0.784099102,-0.206728595,-3,0,0,0
2011-Q4,-0.212957636,0.812208846,0.479169297,-2.808665758,0.12598808,0.860256932,1.558500957,-3.07,0,0,0
2012-Q1,0.870302531,0.775656201,0.514143038,8.441101045,0.8720897,0.6512721,0.89660735,-2.2,0,0,0
2012-Q2,0.220241945,0.681288283,0.466308852,-8.133005272,-0.11966936,0.378833222,2.539090951,-3.36,0,0,0
2012-Q3,0.173576232,0.682873681,0.423929015,0.967548408,0.9511664,0.47402704,0.992884058,-4.34,0,0,0
